,precision,recall,f1-score,support
0,0.997840173,0.989293362,0.993548387,467
1,0.982758621,0.956834532,0.969623329,417
2,0.997826087,0.993506494,0.995661605,462
3,0.988662132,1,0.994298746,436
4,0.997826087,1,0.998911861,459
5,1,0.995485327,0.997737557,443
6,1,0.997894737,0.998946259,475
7,1,1,1,500
8,0.993617021,1,0.996798292,467
9,0.995604396,1,0.997797357,453
10,1,0.995495495,0.997742664,444
11,0.997722096,1,0.998859749,438
12,0.971649485,0.961734694,0.966666667,392
13,1,0.985882353,0.992890995,425
14,0.991489362,1,0.995726496,466
15,1,1,1,449
16,0.997933884,0.997933884,0.997933884,484
17,1,0.997752809,0.998875141,445
18,0.985138004,0.997849462,0.991452991,465
19,0.993644068,0.99787234,0.995753715,470
20,0.997701149,1,0.998849252,434
21,0.995327103,0.988399072,0.99185099,431
22,0.992907801,0.988235294,0.990566038,425
23,0.979775281,0.981981982,0.98087739,444
24,0.98973306,0.993814433,0.991769547,485
25,1,0.977678571,0.988713318,448
26,0.988789238,0.997737557,0.993243243,442
27,1,1,1,445
28,1,1,1,470
29,1,1,1,480
30,1,1,1,441
31,1,1,1,456
32,1,1,1,458
33,1,1,1,471
34,0.973273942,0.979820628,0.976536313,446
35,1,1,1,420
36,1,1,1,427
37,0.997727273,1,0.998862344,439
38,0.962637363,0.977678571,0.970099668,448
39,1,1,1,416
40,0.971922246,0.980392157,0.976138829,459
41,0.973451327,0.984340045,0.978865406,447
42,0.997811816,0.989154013,0.993464052,461
