,precision,recall,f1-score,support
0,1,0.888888889,0.941176471,36
1,0.990963855,0.724669604,0.837150127,454
2,0.995327103,0.970387244,0.982698962,439
3,0.98015873,0.932075472,0.955512573,265
4,0.974178404,0.985748219,0.979929162,421
5,0.988452656,0.990740741,0.989595376,432
6,1,0.969135802,0.984326019,162
7,0.859259259,0.991452991,0.920634921,117
8,0.975308642,0.975308642,0.975308642,81
9,0.986956522,1,0.993435449,227
10,0.979079498,0.951219512,0.964948454,246
11,0.736842105,1,0.848484848,42
12,0.849878935,0.773127753,0.809688581,454
13,0.964285714,0.947368421,0.955752212,57
14,0.968253968,0.897058824,0.93129771,68
15,0.975903614,0.987804878,0.981818182,82
16,0.943820225,0.893617021,0.918032787,94
17,0.945454545,0.981132075,0.962962963,53
18,0.966887417,0.957377049,0.962108731,305
19,0.962686567,0.914893617,0.938181818,141
20,0.9,0.957446809,0.927835052,47
21,1,0.97,0.984771574,100
22,0.941176471,0.941176471,0.941176471,51
23,0.901694915,0.917241379,0.909401709,290
24,0.83908046,0.924050633,0.879518072,79
25,0.901840491,0.98,0.939297125,150
26,0.888888889,1,0.941176471,40
27,0.992753623,1,0.996363636,137
28,0.965116279,1,0.982248521,83
29,0.995454545,0.986486486,0.990950226,222
30,1,1,1,62
31,1,1,1,47
32,0.99744898,0.979949875,0.988621997,399
33,1,1,1,68
34,0.889671362,0.959493671,0.923264312,395
35,0.876404494,0.987341772,0.928571429,79
36,1,0.897959184,0.946236559,49
37,0.88,1,0.936170213,44
38,0.730360934,0.924731183,0.816132859,372
39,1,1,1,88
40,0.899371069,0.888198758,0.89375,322
41,0.871080139,0.925925926,0.897666068,270
42,0.978494624,0.975,0.976744186,280
