,precision,recall,f1-score,support
0,0.865384615,0.97826087,0.918367347,46
1,0.964912281,0.926315789,0.945220193,475
2,1,0.957920792,0.978508217,404
3,1,0.80155642,0.889848812,257
4,0.990220049,0.990220049,0.990220049,409
5,0.992682927,0.995110024,0.993894994,409
6,1,0.976331361,0.988023952,169
7,0.887218045,0.991596639,0.936507937,119
8,1,0.943181818,0.970760234,88
9,0.995867769,1,0.997929607,241
10,0.990825688,0.86746988,0.925053533,249
11,0.971428571,1,0.985507246,34
12,0.858283433,0.968468468,0.91005291,444
13,0.921052632,0.909090909,0.91503268,77
14,1,0.873015873,0.93220339,63
15,0.967032967,0.967032967,0.967032967,91
16,0.956521739,0.946236559,0.951351351,93
17,0.785714286,0.964912281,0.866141732,57
18,0.966542751,0.977443609,0.971962617,266
19,0.894736842,0.944444444,0.918918919,108
20,0.515151515,1,0.68,51
21,0.962962963,0.795918367,0.87150838,98
22,0.555555556,1,0.714285714,55
23,0.892976589,0.978021978,0.933566434,273
24,0.945652174,0.878787879,0.910994764,99
25,0.992753623,0.925675676,0.958041958,148
26,0.772727273,1,0.871794872,34
27,0.987012987,0.993464052,0.990228013,153
28,1,0.981651376,0.990740741,109
29,0.992125984,1,0.996047431,252
30,1,0.988095238,0.994011976,84
31,0.976744186,1,0.988235294,42
32,1,0.971830986,0.985714286,426
33,0.965517241,1,0.98245614,56
34,0.953545232,0.994897959,0.973782772,392
35,1,0.8,0.888888889,60
36,0.934782609,1,0.966292135,43
37,0.96,0.979591837,0.96969697,49
38,0.986254296,0.759259259,0.85799701,378
39,0.987804878,0.975903614,0.981818182,83
40,0.988142292,0.886524823,0.934579439,282
41,0.862745098,0.992481203,0.923076923,266
42,0.938271605,0.993464052,0.965079365,306
