,precision,recall,f1-score,support
0,1,0.913043478,0.954545455,46
1,0.989224138,0.966315789,0.977635783,475
2,0.995073892,1,0.997530864,404
3,0.988416988,0.996108949,0.992248062,257
4,1,0.995110024,0.99754902,409
5,0.99270073,0.997555012,0.995121951,409
6,1,1,1,169
7,0.991596639,0.991596639,0.991596639,119
8,0.988764045,1,0.994350282,88
9,1,1,1,241
10,0.995983936,0.995983936,0.995983936,249
11,0.970588235,0.970588235,0.970588235,34
12,0.984340045,0.990990991,0.987654321,444
13,0.973684211,0.961038961,0.967320261,77
14,0.966101695,0.904761905,0.93442623,63
15,0.989130435,1,0.994535519,91
16,0.978723404,0.989247312,0.983957219,93
17,0.982758621,1,0.991304348,57
18,0.992537313,1,0.996254682,266
19,0.990654206,0.981481481,0.986046512,108
20,1,1,1,51
21,1,0.989795918,0.994871795,98
22,0.981818182,0.981818182,0.981818182,55
23,1,0.981684982,0.990757856,273
24,1,0.95959596,0.979381443,99
25,0.960784314,0.993243243,0.976744186,148
26,1,1,1,34
27,0.993506494,1,0.996742671,153
28,1,0.981651376,0.990740741,109
29,1,1,1,252
30,1,1,1,84
31,1,1,1,42
32,0.995327103,1,0.99765808,426
33,1,1,1,56
34,0.958435208,1,0.978776529,392
35,1,0.983333333,0.991596639,60
36,1,1,1,43
37,1,1,1,49
38,0.984126984,0.984126984,0.984126984,378
39,1,0.987951807,0.993939394,83
40,0.989208633,0.975177305,0.982142857,282
41,0.974074074,0.988721805,0.981343284,266
42,1,0.990196078,0.995073892,306
