,precision,recall,f1-score,support
0,0.923076923,1,0.96,36
1,0.975056689,0.947136564,0.960893855,454
2,0.995444191,0.995444191,0.995444191,439
3,0.992424242,0.988679245,0.990548204,265
4,1,0.997624703,0.998810939,421
5,0.995391705,1,0.997690531,432
6,0.993865031,1,0.996923077,162
7,0.949579832,0.965811966,0.957627119,117
8,1,1,1,81
9,1,1,1,227
10,0.995833333,0.971544715,0.983539095,246
11,0.976744186,1,0.988235294,42
12,0.961711712,0.940528634,0.951002227,454
13,0.949152542,0.98245614,0.965517241,57
14,0.983870968,0.897058824,0.938461538,68
15,1,1,1,82
16,0.989247312,0.978723404,0.983957219,94
17,1,0.981132075,0.99047619,53
18,0.983713355,0.990163934,0.986928105,305
19,0.979020979,0.992907801,0.985915493,141
20,1,0.978723404,0.989247312,47
21,0.98989899,0.98,0.984924623,100
22,0.961538462,0.980392157,0.970873786,51
23,0.954703833,0.944827586,0.949740035,290
24,0.950617284,0.974683544,0.9625,79
25,0.973509934,0.98,0.976744186,150
26,0.975609756,1,0.987654321,40
27,1,0.99270073,0.996336996,137
28,1,1,1,83
29,0.995495495,0.995495495,0.995495495,222
30,0.983870968,0.983870968,0.983870968,62
31,1,1,1,47
32,0.982758621,1,0.991304348,399
33,1,1,1,68
34,0.97715736,0.974683544,0.975918885,395
35,1,1,1,79
36,1,1,1,49
37,1,1,1,44
38,0.916666667,0.975806452,0.9453125,372
39,1,1,1,88
40,0.972136223,0.97515528,0.973643411,322
41,0.981203008,0.966666667,0.973880597,270
42,0.996402878,0.989285714,0.992831541,280
