,precision,recall,f1-score,support
0,1,0.916666667,0.956521739,36
1,0.928270042,0.969162996,0.948275862,454
2,0.997635934,0.961275626,0.979118329,439
3,0.835962145,1,0.910652921,265
4,0.965517241,0.997624703,0.981308411,421
5,0.990654206,0.981481481,0.986046512,432
6,0.904494382,0.99382716,0.947058824,162
7,0.912,0.974358974,0.94214876,117
8,0.941176471,0.987654321,0.963855422,81
9,1,0.969162996,0.984340045,227
10,0.956862745,0.991869919,0.974051896,246
11,1,0.619047619,0.764705882,42
12,0.954869359,0.885462555,0.918857143,454
13,1,0.701754386,0.824742268,57
14,1,0.602941176,0.752293578,68
15,1,0.902439024,0.948717949,82
16,0.955223881,0.680851064,0.795031056,94
17,0.833333333,0.943396226,0.884955752,53
18,0.934579439,0.983606557,0.958466454,305
19,0.944827586,0.971631206,0.958041958,141
20,0.851851852,0.978723404,0.910891089,47
21,0.911111111,0.82,0.863157895,100
22,0.585365854,0.941176471,0.721804511,51
23,0.947552448,0.934482759,0.940972222,290
24,0.942857143,0.835443038,0.88590604,79
25,0.959677419,0.793333333,0.868613139,150
26,0.784313725,1,0.879120879,40
27,0.894736842,0.99270073,0.941176471,137
28,0.971830986,0.831325301,0.896103896,83
29,0.916317992,0.986486486,0.95010846,222
30,0.716049383,0.935483871,0.811188811,62
31,0.928571429,0.829787234,0.876404494,47
32,0.905940594,0.917293233,0.911581569,399
33,0.946428571,0.779411765,0.85483871,68
34,0.925480769,0.974683544,0.949445129,395
35,0.878787879,0.734177215,0.8,79
36,0.974358974,0.775510204,0.863636364,49
37,0.966666667,0.659090909,0.783783784,44
38,0.858560794,0.930107527,0.892903226,372
39,0.887755102,0.988636364,0.935483871,88
40,0.981684982,0.832298137,0.900840336,322
41,0.88172043,0.911111111,0.896174863,270
42,0.985507246,0.971428571,0.978417266,280
