,precision,recall,f1-score,support
0,1,0.666666667,0.8,36
1,0.969194313,0.900881057,0.933789954,454
2,0.99543379,0.993166287,0.994298746,439
3,0.9390681,0.988679245,0.963235294,265
4,0.988235294,0.997624703,0.992907801,421
5,0.977272727,0.99537037,0.986238532,432
6,1,1,1,162
7,0.913385827,0.991452991,0.950819672,117
8,0.964285714,1,0.981818182,81
9,1,1,1,227
10,0.956349206,0.979674797,0.967871486,246
11,0.951219512,0.928571429,0.939759036,42
12,0.97037037,0.865638767,0.915017462,454
13,0.918032787,0.98245614,0.949152542,57
14,1,0.823529412,0.903225806,68
15,0.964705882,1,0.982035928,82
16,0.988505747,0.914893617,0.950276243,94
17,0.9375,0.849056604,0.891089109,53
18,1,0.996721311,0.998357964,305
19,0.963235294,0.929078014,0.945848375,141
20,0.953488372,0.872340426,0.911111111,47
21,0.988888889,0.89,0.936842105,100
22,0.923076923,0.941176471,0.932038835,51
23,0.941780822,0.948275862,0.945017182,290
24,0.949367089,0.949367089,0.949367089,79
25,0.935897436,0.973333333,0.954248366,150
26,0.8,1,0.888888889,40
27,0.971428571,0.99270073,0.981949458,137
28,0.988095238,1,0.994011976,83
29,1,0.963963964,0.981651376,222
30,0.984126984,1,0.992,62
31,1,0.978723404,0.989247312,47
32,0.987593052,0.997493734,0.992518703,399
33,1,1,1,68
34,0.930120482,0.97721519,0.95308642,395
35,1,0.949367089,0.974025974,79
36,1,1,1,49
37,1,1,1,44
38,0.840749415,0.965053763,0.898623279,372
39,1,0.988636364,0.994285714,88
40,0.956112853,0.947204969,0.951638066,322
41,0.937728938,0.948148148,0.942909761,270
42,0.996402878,0.989285714,0.992831541,280
