,precision,recall,f1-score,support
0,1,0.972222222,0.985915493,36
1,0.965141612,0.975770925,0.970427163,454
2,0.986143187,0.972665148,0.979357798,439
3,0.793413174,1,0.884808013,265
4,0.992907801,0.997624703,0.995260664,421
5,0.981818182,1,0.990825688,432
6,0.975903614,1,0.987804878,162
7,0.942622951,0.982905983,0.962343096,117
8,1,0.975308642,0.9875,81
9,0.995614035,1,0.997802198,227
10,0.9348659,0.991869919,0.962524655,246
11,0.972972973,0.857142857,0.911392405,42
12,0.965292842,0.980176211,0.972677596,454
13,0.964285714,0.947368421,0.955752212,57
14,0.792682927,0.955882353,0.866666667,68
15,0.975308642,0.963414634,0.969325153,82
16,1,0.617021277,0.763157895,94
17,0.882352941,0.849056604,0.865384615,53
18,0.989583333,0.93442623,0.961214165,305
19,0.964539007,0.964539007,0.964539007,141
20,1,0.787234043,0.880952381,47
21,0.941747573,0.97,0.955665025,100
22,1,0.411764706,0.583333333,51
23,0.996168582,0.896551724,0.943738657,290
24,0.737373737,0.924050633,0.820224719,79
25,0.98,0.98,0.98,150
26,0.971428571,0.85,0.906666667,40
27,1,0.98540146,0.992647059,137
28,0.892473118,1,0.943181818,83
29,0.928870293,1,0.963123644,222
30,0.756097561,1,0.861111111,62
31,0.796610169,1,0.886792453,47
32,0.96350365,0.992481203,0.977777778,399
33,0.971428571,1,0.985507246,68
34,0.997402597,0.972151899,0.984615385,395
35,1,1,1,79
36,1,0.979591837,0.989690722,49
37,0.733333333,1,0.846153846,44
38,0.987987988,0.884408602,0.933333333,372
39,1,0.704545455,0.826666667,88
40,0.971786834,0.962732919,0.96723869,322
41,0.955719557,0.959259259,0.957486137,270
42,1,0.939285714,0.968692449,280
