class,accuracy,precision,recall,f1,support,model
0,100,0.995735608,1,0.997863248,467,balanced_SMOTE_CNN.csv
1,96.64268585,0.971084337,0.966426859,0.96875,417,balanced_SMOTE_CNN.csv
2,99.35064935,0.997826087,0.993506494,0.995661605,462,balanced_SMOTE_CNN.csv
3,99.5412844,1,0.995412844,0.997701149,436,balanced_SMOTE_CNN.csv
4,100,0.995661605,1,0.997826087,459,balanced_SMOTE_CNN.csv
5,99.77426637,1,0.997742664,0.998870056,443,balanced_SMOTE_CNN.csv
6,100,0.995807128,1,0.99789916,475,balanced_SMOTE_CNN.csv
7,100,0.996015936,1,0.998003992,500,balanced_SMOTE_CNN.csv
8,100,0.997863248,1,0.998930481,467,balanced_SMOTE_CNN.csv
9,100,1,1,1,453,balanced_SMOTE_CNN.csv
10,96.3963964,1,0.963963964,0.981651376,444,balanced_SMOTE_CNN.csv
11,99.7716895,1,0.997716895,0.998857143,438,balanced_SMOTE_CNN.csv
12,93.62244898,0.970899471,0.93622449,0.953246753,392,balanced_SMOTE_CNN.csv
13,99.76470588,0.997647059,0.997647059,0.997647059,425,balanced_SMOTE_CNN.csv
14,99.57081545,0.997849462,0.995708155,0.996777658,466,balanced_SMOTE_CNN.csv
15,100,1,1,1,449,balanced_SMOTE_CNN.csv
16,99.38016529,0.995859213,0.993801653,0.994829369,484,balanced_SMOTE_CNN.csv
17,100,1,1,1,445,balanced_SMOTE_CNN.csv
18,99.78494624,0.995708155,0.997849462,0.996777658,465,balanced_SMOTE_CNN.csv
19,99.78723404,0.963039014,0.99787234,0.98014629,470,balanced_SMOTE_CNN.csv
20,99.53917051,0.993103448,0.995391705,0.99424626,434,balanced_SMOTE_CNN.csv
21,99.76798144,1,0.997679814,0.99883856,431,balanced_SMOTE_CNN.csv
22,100,0.995316159,1,0.997652582,425,balanced_SMOTE_CNN.csv
23,94.59459459,0.990566038,0.945945946,0.967741935,444,balanced_SMOTE_CNN.csv
24,99.79381443,1,0.997938144,0.998968008,485,balanced_SMOTE_CNN.csv
25,99.77678571,1,0.997767857,0.998882682,448,balanced_SMOTE_CNN.csv
26,100,1,1,1,442,balanced_SMOTE_CNN.csv
27,100,1,1,1,445,balanced_SMOTE_CNN.csv
