class,precision,recall,f1,support,model
0,0.995735608,1.0,0.997863248,467,balanced_SMOTE_CNN.csv
1,0.971084337,0.966426859,0.96875,417,balanced_SMOTE_CNN.csv
2,0.997826087,0.993506494,0.995661605,462,balanced_SMOTE_CNN.csv
3,1.0,0.995412844,0.997701149,436,balanced_SMOTE_CNN.csv
4,0.995661605,1.0,0.997826087,459,balanced_SMOTE_CNN.csv
5,1.0,0.997742664,0.998870056,443,balanced_SMOTE_CNN.csv
6,0.995807128,1.0,0.99789916,475,balanced_SMOTE_CNN.csv
7,0.996015936,1.0,0.998003992,500,balanced_SMOTE_CNN.csv
8,0.997863248,1.0,0.998930481,467,balanced_SMOTE_CNN.csv
9,1.0,1.0,1.0,453,balanced_SMOTE_CNN.csv
10,1.0,0.963963964,0.981651376,444,balanced_SMOTE_CNN.csv
11,1.0,0.997716895,0.998857143,438,balanced_SMOTE_CNN.csv
12,0.970899471,0.93622449,0.953246753,392,balanced_SMOTE_CNN.csv
13,0.997647059,0.997647059,0.997647059,425,balanced_SMOTE_CNN.csv
14,0.997849462,0.995708155,0.996777658,466,balanced_SMOTE_CNN.csv
15,1.0,1.0,1.0,449,balanced_SMOTE_CNN.csv
16,0.995859213,0.993801653,0.994829369,484,balanced_SMOTE_CNN.csv
17,1.0,1.0,1.0,445,balanced_SMOTE_CNN.csv
18,0.995708155,0.997849462,0.996777658,465,balanced_SMOTE_CNN.csv
19,0.963039014,0.99787234,0.98014629,470,balanced_SMOTE_CNN.csv
20,0.993103448,0.995391705,0.99424626,434,balanced_SMOTE_CNN.csv
21,1.0,0.997679814,0.99883856,431,balanced_SMOTE_CNN.csv
22,0.995316159,1.0,0.997652582,425,balanced_SMOTE_CNN.csv
23,0.990566038,0.945945946,0.967741935,444,balanced_SMOTE_CNN.csv
24,1.0,0.997938144,0.998968008,485,balanced_SMOTE_CNN.csv
25,1.0,0.997767857,0.998882682,448,balanced_SMOTE_CNN.csv
26,1.0,1.0,1.0,442,balanced_SMOTE_CNN.csv
27,1.0,1.0,1.0,445,balanced_SMOTE_CNN.csv
28,1.0,1.0,1.0,470,balanced_SMOTE_CNN.csv
29,1.0,1.0,1.0,480,balanced_SMOTE_CNN.csv
30,1.0,1.0,1.0,441,balanced_SMOTE_CNN.csv
31,1.0,1.0,1.0,456,balanced_SMOTE_CNN.csv
32,0.997811816,0.995633188,0.996721311,458,balanced_SMOTE_CNN.csv
33,1.0,1.0,1.0,471,balanced_SMOTE_CNN.csv
34,0.990929705,0.979820628,0.985343856,446,balanced_SMOTE_CNN.csv
35,0.997624703,1.0,0.998810939,420,balanced_SMOTE_CNN.csv
36,1.0,1.0,1.0,427,balanced_SMOTE_CNN.csv
37,1.0,1.0,1.0,439,balanced_SMOTE_CNN.csv
38,0.904761905,0.975446429,0.93877551,448,balanced_SMOTE_CNN.csv
39,1.0,1.0,1.0,416,balanced_SMOTE_CNN.csv
40,0.986636971,0.965141612,0.975770925,459,balanced_SMOTE_CNN.csv
41,0.965292842,0.995525727,0.980176211,447,balanced_SMOTE_CNN.csv
42,0.997826087,0.995661605,0.996742671,461,balanced_SMOTE_CNN.csv
0,1.0,0.995717345,0.997854077,467,balanced_SMOTE_ResNet_50.csv
1,0.944700461,0.983213429,0.963572268,417,balanced_SMOTE_ResNet_50.csv
2,0.989270386,0.997835498,0.993534483,462,balanced_SMOTE_ResNet_50.csv
3,0.974943052,0.981651376,0.978285714,436,balanced_SMOTE_ResNet_50.csv
4,0.997807018,0.991285403,0.994535519,459,balanced_SMOTE_ResNet_50.csv
5,0.997727273,0.990970655,0.994337486,443,balanced_SMOTE_ResNet_50.csv
6,0.99789916,1.0,0.998948475,475,balanced_SMOTE_ResNet_50.csv
7,0.99009901,1.0,0.995024876,500,balanced_SMOTE_ResNet_50.csv
8,1.0,0.997858672,0.998928189,467,balanced_SMOTE_ResNet_50.csv
9,0.993421053,1.0,0.99669967,453,balanced_SMOTE_ResNet_50.csv
10,0.997695853,0.975225225,0.986332574,444,balanced_SMOTE_ResNet_50.csv
11,1.0,1.0,1.0,438,balanced_SMOTE_ResNet_50.csv
12,0.923809524,0.989795918,0.955665025,392,balanced_SMOTE_ResNet_50.csv
13,0.983796296,1.0,0.991831972,425,balanced_SMOTE_ResNet_50.csv
14,0.987288136,1.0,0.993603412,466,balanced_SMOTE_ResNet_50.csv
15,0.99556541,1.0,0.997777778,449,balanced_SMOTE_ResNet_50.csv
16,0.993670886,0.973140496,0.983298539,484,balanced_SMOTE_ResNet_50.csv
17,1.0,1.0,1.0,445,balanced_SMOTE_ResNet_50.csv
18,0.993506494,0.987096774,0.990291262,465,balanced_SMOTE_ResNet_50.csv
19,0.987315011,0.993617021,0.990455992,470,balanced_SMOTE_ResNet_50.csv
20,1.0,0.974654378,0.987164527,434,balanced_SMOTE_ResNet_50.csv
21,0.995327103,0.988399072,0.99185099,431,balanced_SMOTE_ResNet_50.csv
22,1.0,1.0,1.0,425,balanced_SMOTE_ResNet_50.csv
23,1.0,0.882882883,0.937799043,444,balanced_SMOTE_ResNet_50.csv
24,0.975806452,0.997938144,0.986748216,485,balanced_SMOTE_ResNet_50.csv
25,0.988938053,0.997767857,0.993333333,448,balanced_SMOTE_ResNet_50.csv
26,0.9844098,1.0,0.992143659,442,balanced_SMOTE_ResNet_50.csv
27,0.997757848,1.0,0.998877666,445,balanced_SMOTE_ResNet_50.csv
28,0.995762712,1.0,0.997876858,470,balanced_SMOTE_ResNet_50.csv
