class,accuraccy,precision,recall,f1,support,model
0,100,0.993617021,1,0.996798292,467,balanced_SMOTE_CNN.csv
1,94.00479616,0.990123457,0.961630695,0.9756691,417,balanced_SMOTE_CNN.csv
2,100,0.993520518,0.995670996,0.994594595,462,balanced_SMOTE_CNN.csv
3,98.62385321,0.995402299,0.993119266,0.994259472,436,balanced_SMOTE_CNN.csv
4,99.78213508,1,1,1,459,balanced_SMOTE_CNN.csv
5,99.3227991,1,0.997742664,0.998870056,443,balanced_SMOTE_CNN.csv
6,100,1,0.995789474,0.997890295,475,balanced_SMOTE_CNN.csv
7,99.8,1,1,1,500,balanced_SMOTE_CNN.csv
8,100,1,1,1,467,balanced_SMOTE_CNN.csv
9,100,0.995604396,1,0.997797357,453,balanced_SMOTE_CNN.csv
10,99.77477477,1,0.981981982,0.990909091,444,balanced_SMOTE_CNN.csv
11,99.7716895,0.997722096,1,0.998859749,438,balanced_SMOTE_CNN.csv
12,96.93877551,0.964912281,0.982142857,0.973451327,392,balanced_SMOTE_CNN.csv
13,98.58823529,0.995305164,0.997647059,0.996474736,425,balanced_SMOTE_CNN.csv
14,99.57081545,1,0.989270386,0.994606257,466,balanced_SMOTE_CNN.csv
15,99.58677686,1,1,1,449,balanced_SMOTE_CNN.csv
16,100,0.995867769,0.995867769,0.995867769,484,balanced_SMOTE_CNN.csv
17,99.78494624,1,0.997752809,0.998875141,445,balanced_SMOTE_CNN.csv
18,99.14893617,0.997844828,0.995698925,0.996770721,465,balanced_SMOTE_CNN.csv
19,99.76958525,0.981210856,1,0.990516333,470,balanced_SMOTE_CNN.csv
20,100,0.997701149,1,0.998849252,434,balanced_SMOTE_CNN.csv
21,100,0.997679814,0.997679814,0.997679814,431,balanced_SMOTE_CNN.csv
22,94.59459459,0.990675991,1,0.995316159,425,balanced_SMOTE_CNN.csv
23,100,0.973568282,0.995495495,0.9844098,444,balanced_SMOTE_CNN.csv
24,100,1,0.995876289,0.997933884,485,balanced_SMOTE_CNN.csv
25,100,0.988938053,0.997767857,0.993333333,448,balanced_SMOTE_CNN.csv
26,100,1,1,1,442,balanced_SMOTE_CNN.csv
27,99.78723404,1,1,1,445,balanced_SMOTE_CNN.csv
28,99.79166667,1,1,1,470,balanced_SMOTE_CNN.csv
29,100,1,1,1,480,balanced_SMOTE_CNN.csv
30,100,1,1,1,441,balanced_SMOTE_CNN.csv
31,99.56331878,1,1,1,456,balanced_SMOTE_CNN.csv
32,100,1,1,1,458,balanced_SMOTE_CNN.csv
33,98.43049327,1,1,1,471,balanced_SMOTE_CNN.csv
34,100,0.9844098,0.99103139,0.987709497,446,balanced_SMOTE_CNN.csv
35,100,1,0.997619048,0.998808105,420,balanced_SMOTE_CNN.csv
36,100,0.997663551,1,0.998830409,427,balanced_SMOTE_CNN.csv
37,97.99107143,1,1,1,439,balanced_SMOTE_CNN.csv
38,100,0.993006993,0.950892857,0.971493729,448,balanced_SMOTE_CNN.csv
39,98.03921569,1,1,1,416,balanced_SMOTE_CNN.csv
40,96.6442953,0.991341991,0.997821351,0.994571118,459,balanced_SMOTE_CNN.csv
41,98.9154013,0.988888889,0.995525727,0.99219621,447,balanced_SMOTE_CNN.csv
42,98.92857143,0.997830803,0.997830803,0.997830803,461,balanced_SMOTE_CNN.csv
0,100,0.993617021,1,0.996798292,467,balanced_SMOTE_ResNet_50.csv
1,96.64268585,0.970515971,0.947242206,0.958737864,417,balanced_SMOTE_ResNet_50.csv
2,99.56709957,1,0.995670996,0.997830803,462,balanced_SMOTE_ResNet_50.csv
3,100,0.927659574,1,0.962472406,436,balanced_SMOTE_ResNet_50.csv
4,100,1,0.991285403,0.995623632,459,balanced_SMOTE_ResNet_50.csv
5,100,0.952688172,1,0.975770925,443,balanced_SMOTE_ResNet_50.csv
6,100,0.997894737,0.997894737,0.997894737,475,balanced_SMOTE_ResNet_50.csv
7,100,0.986193294,1,0.993048659,500,balanced_SMOTE_ResNet_50.csv
8,100,0.993617021,1,0.996798292,467,balanced_SMOTE_ResNet_50.csv
9,100,0.997797357,1,0.998897464,453,balanced_SMOTE_ResNet_50.csv
10,99.0990991,0.839319471,1,0.912641316,444,balanced_SMOTE_ResNet_50.csv
11,100,1,0.993150685,0.996563574,438,balanced_SMOTE_ResNet_50.csv
12,97.70408163,0.94629156,0.943877551,0.945083014,392,balanced_SMOTE_ResNet_50.csv
13,99.52941176,0.997542998,0.955294118,0.975961538,425,balanced_SMOTE_ResNet_50.csv
14,100,0.974895397,1,0.987288136,466,balanced_SMOTE_ResNet_50.csv
15,100,1,1,1,449,balanced_SMOTE_ResNet_50.csv
16,99.79338843,0.953907816,0.983471074,0.968463886,484,balanced_SMOTE_ResNet_50.csv
17,100,0.91002045,1,0.952890792,445,balanced_SMOTE_ResNet_50.csv
18,99.35483871,0.995614035,0.976344086,0.985884908,465,balanced_SMOTE_ResNet_50.csv
19,100,0.992682927,0.865957447,0.925,470,balanced_SMOTE_ResNet_50.csv
20,99.76958525,0.99744898,0.900921659,0.946731235,434,balanced_SMOTE_ResNet_50.csv
21,99.53596288,0.997635934,0.979118329,0.988290398,431,balanced_SMOTE_ResNet_50.csv
22,100,0.997641509,0.995294118,0.996466431,425,balanced_SMOTE_ResNet_50.csv
23,98.64864865,0.995423341,0.97972973,0.987514188,444,balanced_SMOTE_ResNet_50.csv
24,100,1,0.880412371,0.936403509,485,balanced_SMOTE_ResNet_50.csv
25,99.55357143,1,0.986607143,0.993258427,448,balanced_SMOTE_ResNet_50.csv
26,100,1,1,1,442,balanced_SMOTE_ResNet_50.csv
27,100,1,0.997752809,0.998875141,445,balanced_SMOTE_ResNet_50.csv
28,100,0.997876858,1,0.998937301,470,balanced_SMOTE_ResNet_50.csv
29,100,0.995850622,1,0.997920998,480,balanced_SMOTE_ResNet_50.csv
30,100,1,0.963718821,0.981524249,441,balanced_SMOTE_ResNet_50.csv
31,100,0.989154013,1,0.994547437,456,balanced_SMOTE_ResNet_50.csv
32,100,0.997811816,0.995633188,0.996721311,458,balanced_SMOTE_ResNet_50.csv
33,100,1,1,1,471,balanced_SMOTE_ResNet_50.csv
34,99.55156951,0.971302428,0.986547085,0.978865406,446,balanced_SMOTE_ResNet_50.csv
35,100,0.997624703,1,0.998810939,420,balanced_SMOTE_ResNet_50.csv
36,99.76580796,1,1,1,427,balanced_SMOTE_ResNet_50.csv
37,100,0.997727273,1,0.998862344,439,balanced_SMOTE_ResNet_50.csv
38,98.88392857,0.974885845,0.953125,0.963882619,448,balanced_SMOTE_ResNet_50.csv
39,100,1,0.990384615,0.995169082,416,balanced_SMOTE_ResNet_50.csv
40,98.47494553,0.929006085,0.997821351,0.962184874,459,balanced_SMOTE_ResNet_50.csv
41,99.55257271,0.990675991,0.950782998,0.970319635,447,balanced_SMOTE_ResNet_50.csv
42,100,0.995680346,1,0.997835498,461,balanced_SMOTE_ResNet_50.csv
0,98.92933619,0.995735608,1,0.997863248,467,balanced_SMOTE_ResNet_152.csv
1,98.32134293,0.958041958,0.985611511,0.971631206,417,balanced_SMOTE_ResNet_152.csv
2,99.13419913,0.989224138,0.993506494,0.991360691,462,balanced_SMOTE_ResNet_152.csv
3,97.24770642,0.990909091,1,0.99543379,436,balanced_SMOTE_ResNet_152.csv
4,99.34640523,1,0.993464052,0.996721311,459,balanced_SMOTE_ResNet_152.csv
5,98.19413093,0.988789238,0.995485327,0.992125984,443,balanced_SMOTE_ResNet_152.csv
6,100,1,1,1,475,balanced_SMOTE_ResNet_152.csv
7,97.8,0.994035785,1,0.997008973,500,balanced_SMOTE_ResNet_152.csv
8,100,1,0.997858672,0.998928189,467,balanced_SMOTE_ResNet_152.csv
9,100,0.997797357,1,0.998897464,453,balanced_SMOTE_ResNet_152.csv
10,97.07207207,0.993227991,0.990990991,0.99210823,444,balanced_SMOTE_ResNet_152.csv
11,98.40182648,1,1,1,438,balanced_SMOTE_ResNet_152.csv
12,86.2244898,0.997214485,0.913265306,0.953395473,392,balanced_SMOTE_ResNet_152.csv
13,96,1,0.971764706,0.985680191,425,balanced_SMOTE_ResNet_152.csv
14,100,0.987288136,1,0.993603412,466,balanced_SMOTE_ResNet_152.csv
15,100,1,1,1,449,balanced_SMOTE_ResNet_152.csv
16,97.72727273,0.993814433,0.995867769,0.994840041,484,balanced_SMOTE_ResNet_152.csv
