,precision,recall,f1-score,support
0,0.995735608,1,0.997863248,467
1,0.971084337,0.966426859,0.96875,417
2,0.997826087,0.993506494,0.995661605,462
3,1,0.995412844,0.997701149,436
4,0.995661605,1,0.997826087,459
5,1,0.997742664,0.998870056,443
6,0.995807128,1,0.99789916,475
7,0.996015936,1,0.998003992,500
8,0.997863248,1,0.998930481,467
9,1,1,1,453
10,1,0.963963964,0.981651376,444
11,1,0.997716895,0.998857143,438
12,0.970899471,0.93622449,0.953246753,392
13,0.997647059,0.997647059,0.997647059,425
14,0.997849462,0.995708155,0.996777658,466
15,1,1,1,449
16,0.995859213,0.993801653,0.994829369,484
17,1,1,1,445
18,0.995708155,0.997849462,0.996777658,465
19,0.963039014,0.99787234,0.98014629,470
20,0.993103448,0.995391705,0.99424626,434
21,1,0.997679814,0.99883856,431
22,0.995316159,1,0.997652582,425
23,0.990566038,0.945945946,0.967741935,444
24,1,0.997938144,0.998968008,485
25,1,0.997767857,0.998882682,448
26,1,1,1,442
27,1,1,1,445
28,1,1,1,470
29,1,1,1,480
30,1,1,1,441
31,1,1,1,456
32,0.997811816,0.995633188,0.996721311,458
33,1,1,1,471
34,0.990929705,0.979820628,0.985343856,446
35,0.997624703,1,0.998810939,420
36,1,1,1,427
37,1,1,1,439
38,0.904761905,0.975446429,0.93877551,448
39,1,1,1,416
40,0.986636971,0.965141612,0.975770925,459
41,0.965292842,0.995525727,0.980176211,447
42,0.997826087,0.995661605,0.996742671,461
