class,precision,recall,f1,model
0,91.66666666666666,91.66666666666666,91.66666666666666,imbalanced_cnn.csv
1,96.25550660792952,96.25550660792952,96.25550660792952,imbalanced_cnn.csv
2,100.0,100.0,100.0,imbalanced_cnn.csv
3,98.1132075471698,98.1132075471698,98.1132075471698,imbalanced_cnn.csv
4,99.0498812351544,99.0498812351544,99.0498812351544,imbalanced_cnn.csv
5,99.53703703703704,99.53703703703704,99.53703703703704,imbalanced_cnn.csv
6,100.0,100.0,100.0,imbalanced_cnn.csv
7,100.0,100.0,100.0,imbalanced_cnn.csv
8,100.0,100.0,100.0,imbalanced_cnn.csv
9,100.0,100.0,100.0,imbalanced_cnn.csv
10,97.5609756097561,97.5609756097561,97.5609756097561,imbalanced_cnn.csv
11,97.61904761904762,97.61904761904762,97.61904761904762,imbalanced_cnn.csv
12,95.59471365638768,95.59471365638768,95.59471365638768,imbalanced_cnn.csv
13,96.49122807017544,96.49122807017544,96.49122807017544,imbalanced_cnn.csv
14,94.11764705882352,94.11764705882352,94.11764705882352,imbalanced_cnn.csv
15,100.0,100.0,100.0,imbalanced_cnn.csv
16,95.74468085106383,95.74468085106383,95.74468085106383,imbalanced_cnn.csv
17,96.22641509433964,96.22641509433964,96.22641509433964,imbalanced_cnn.csv
18,100.0,100.0,100.0,imbalanced_cnn.csv
19,96.45390070921984,96.45390070921984,96.45390070921984,imbalanced_cnn.csv
20,100.0,100.0,100.0,imbalanced_cnn.csv
21,99.0,99.0,99.0,imbalanced_cnn.csv
22,92.15686274509804,92.15686274509804,92.15686274509804,imbalanced_cnn.csv
23,93.79310344827586,93.79310344827586,93.79310344827586,imbalanced_cnn.csv
24,97.46835443037976,97.46835443037976,97.46835443037976,imbalanced_cnn.csv
25,99.33333333333331,99.33333333333331,99.33333333333331,imbalanced_cnn.csv
26,100.0,100.0,100.0,imbalanced_cnn.csv
27,100.0,100.0,100.0,imbalanced_cnn.csv
28,100.0,100.0,100.0,imbalanced_cnn.csv
29,100.0,100.0,100.0,imbalanced_cnn.csv
30,100.0,100.0,100.0,imbalanced_cnn.csv
31,100.0,100.0,100.0,imbalanced_cnn.csv
32,100.0,100.0,100.0,imbalanced_cnn.csv
33,98.52941176470588,98.52941176470588,98.52941176470588,imbalanced_cnn.csv
34,99.74683544303798,99.74683544303798,99.74683544303798,imbalanced_cnn.csv
35,100.0,100.0,100.0,imbalanced_cnn.csv
36,100.0,100.0,100.0,imbalanced_cnn.csv
37,100.0,100.0,100.0,imbalanced_cnn.csv
38,97.58064516129032,97.58064516129032,97.58064516129032,imbalanced_cnn.csv
39,100.0,100.0,100.0,imbalanced_cnn.csv
40,98.75776397515529,98.75776397515529,98.75776397515529,imbalanced_cnn.csv
41,94.07407407407408,94.07407407407408,94.07407407407408,imbalanced_cnn.csv
42,98.92857142857144,98.92857142857144,98.92857142857144,imbalanced_cnn.csv
0,100.0,100.0,100.0,imbalanced_resnet_50.csv
1,97.57709251101322,97.57709251101322,97.57709251101322,imbalanced_resnet_50.csv
2,97.49430523917997,97.49430523917997,97.49430523917997,imbalanced_resnet_50.csv
3,98.1132075471698,98.1132075471698,98.1132075471698,imbalanced_resnet_50.csv
4,99.7624703087886,99.7624703087886,99.7624703087886,imbalanced_resnet_50.csv
5,98.8425925925926,98.8425925925926,98.8425925925926,imbalanced_resnet_50.csv
6,99.38271604938272,99.38271604938272,99.38271604938272,imbalanced_resnet_50.csv
7,98.29059829059828,98.29059829059828,98.29059829059828,imbalanced_resnet_50.csv
8,97.53086419753086,97.53086419753086,97.53086419753086,imbalanced_resnet_50.csv
9,100.0,100.0,100.0,imbalanced_resnet_50.csv
10,95.52845528455283,95.52845528455283,95.52845528455283,imbalanced_resnet_50.csv
11,85.71428571428571,85.71428571428571,85.71428571428571,imbalanced_resnet_50.csv
12,97.3568281938326,97.3568281938326,97.3568281938326,imbalanced_resnet_50.csv
13,96.49122807017544,96.49122807017544,96.49122807017544,imbalanced_resnet_50.csv
14,75.0,75.0,75.0,imbalanced_resnet_50.csv
15,92.6829268292683,92.6829268292683,92.6829268292683,imbalanced_resnet_50.csv
16,90.42553191489364,90.42553191489364,90.42553191489364,imbalanced_resnet_50.csv
17,92.45283018867924,92.45283018867924,92.45283018867924,imbalanced_resnet_50.csv
18,97.04918032786884,97.04918032786884,97.04918032786884,imbalanced_resnet_50.csv
19,92.90780141843972,92.90780141843972,92.90780141843972,imbalanced_resnet_50.csv
20,78.72340425531915,78.72340425531915,78.72340425531915,imbalanced_resnet_50.csv
21,99.0,99.0,99.0,imbalanced_resnet_50.csv
22,96.07843137254902,96.07843137254902,96.07843137254902,imbalanced_resnet_50.csv
23,97.93103448275862,97.93103448275862,97.93103448275862,imbalanced_resnet_50.csv
24,82.27848101265823,82.27848101265823,82.27848101265823,imbalanced_resnet_50.csv
25,97.33333333333334,97.33333333333334,97.33333333333334,imbalanced_resnet_50.csv
26,100.0,100.0,100.0,imbalanced_resnet_50.csv
27,97.8102189781022,97.8102189781022,97.8102189781022,imbalanced_resnet_50.csv
28,97.59036144578312,97.59036144578312,97.59036144578312,imbalanced_resnet_50.csv
29,100.0,100.0,100.0,imbalanced_resnet_50.csv
30,100.0,100.0,100.0,imbalanced_resnet_50.csv
31,91.48936170212764,91.48936170212764,91.48936170212764,imbalanced_resnet_50.csv
32,100.0,100.0,100.0,imbalanced_resnet_50.csv
33,100.0,100.0,100.0,imbalanced_resnet_50.csv
34,90.37974683544304,90.37974683544304,90.37974683544304,imbalanced_resnet_50.csv
35,100.0,100.0,100.0,imbalanced_resnet_50.csv
